english,portuguese
about,sobre
above,acima
accustomed,acostumado
actually,realmente
age,idade
aggressive,agressivo
almost,quase
already,ja
alright,bem
also,também
although,embora
always,sempre
angry,irritado
annoyed,irritado
any,qualquer
some,alguns
apparently,aparentemente
as … as (equal),como ... como (igual)
aswell/also,também
available,disponivel
behind,tras
better,melhor
between/middle,entro
birthday,aniversario
bored,entediado
both,quer
bottom (at the),fundo (no)
boyfriend,namorado
bush,arbusto
calm,calma
care,cuidado
change,alterar
childhood,infancia
choice,escolha
Click,Clicar
condolences,condolência
content,conteudo
damage,dano
dark (colour),escuro (cor)
degrees,grau
despite,apos
dirty,sujo
disagree,desacordo
dislike,gostar
doubt,duvida
drop (water),gota (água)
dry,seco
dusk,anoitecer
each,cada
early,precoce
empty,vazio
euphoric,euforico
everyday (things),todos os dias (coisas)
far from,longe
fast,rapido
fat,gordura
fed up,fartar
finally,finalmente
finished,concluido
frightened,assustado
from,de
front (in),frente (em)
full,total
fun,diversao
funny,engracado
furious,furioso
game,jogo
glad,feliz
good mood,astral
gracious,gracioso
half,metade
handsome,bonito
hangover,ressaca
happy,feliz
help,ajudar
here,aqui
homework,casa
hope,esperar
hope,esperar
however,entanto
hurt,ferir
ill,doente
interesting,Interessante
interval,intervalo
irritable,Irritavel
irritated,irritado
last,ultimar
late,final
lazy,preguicoso
least,menos
less,menos
level,nivel
lie down,deitar
light (colour),luz (cor)
long,longo
long (shape),longo (forma)
love,amor
luck,sorte
luggage,bagagem
