english,portuguese
5 years ago,Há 5 anos
afternoon,Tarde
April,Abril
August,Agosto
autumn,outono
day,dia
day after tomorrow,dia depois de amanhã
day before yesterday,anteontem
December,Dezembro
February,Fevereiro
Friday,Sexta-feira
in the morning,De manhã
January,Janeiro
July,Julho
June,Junho
last night,A noite passada
March,Março
May,Maio
Monday,Segunda-feira
morning,Manhã
night,Noite
November,Novembro
October,Outubro
Saturday,Sábado
September,Setembro
spring,primavera
summer,verão
Sunday,Domingo
Thursday,Quinta-feira
today,Hoje
tomorrow,amanhã
Tuesday,Terça-feira
Wednesday,Quarta-feira
Weekend,Fim de semana
winter,inverno
yesterday,Ontem
