english,portuguese
told,disse
still,ainda
time,tempo
also,também
go,ir
father,pai
upon,sobre
time,vez
what,quê
Want,quer
are,és
favor,favor
after,depois
so,tão
best,melhor
mother,mãe
perhaps,talvez
hello,olá
Thank you,obrigado
night,noite
you,ti
Know,sabes
always,sempre
god,deus
we´re,estamos
someone,alguém
day,dia
sure,certo
nor,nem
Some,alguma
life,vida
Years,anos
his,dele
without,sem
you go,vais
Of,das
i had,tinha
to be,estar
you want,queres
things,coisas
man,homem
people,pessoas
something,algo
hair,pelo
stay,ficar
good,boa
you know,sabe
Seems,parece
clear,claro
two,dois
truth,verdade
type,tipo
I need,preciso
before,antes
sir,senhor
you,lhe
you can,podes
only,apenas
Mr.,sr.
It does.,faz
you (plural),vocês
nobody,ninguém
work,trabalho
other,outra
wait,espera
to know,saber
Me,comigo
bay,vão
money,dinheiro
there,aí
Can,podemos
little,pouco
catafalque,essa
this,esse
big,grande
because,pois
By,pela
any,qualquer
thereof,disso
A,num
which,qual
I am sorry,desculpa
her,dela
today,hoje
all,toda
must,deve
woman,mulher
Wanted,queria
outside,fora
son,filho
here,cá
Be,seja
My,meus
our,nosso
Look,olha
Go,vá
hence,daqui
serious,sério
Oh,oh
Wow!,nossa
certainty,certeza
Says,diz
name,nome
To,às
other,outro
whole,todo
To give,dar
To try,tentar
go out,sair
Have,têm
How much,quanto
think,pensar
barely,mal
return,volta
Happened,aconteceu
Can,consigo
three,três
world,mundo
less,menos
friend,amigo
You,contigo
although,embora
A,numa
raisin,passa
why,porquê
problem,problema
car,carro
side,lado
times,vezes
In,nas
made/did,fez
Your,seus
new,novo
shit,merda
part,parte
All,todas
To,aos
thanks,obrigada
first,primeiro
Is,será
place,lugar
come back,voltar
Thought,pensei
some,algum
Think,achas
Comes,vem
inside,dentro
family,família
there,ali
