english,portuguese
artichoke,alcachofra
aubergine,beringela
avocado,abacate
banana,banana
beef,carne de vaca
bitter,amargo
boiled,fervido
broccoli,brócolos
carrot,cenoura
cauliflower,couve-flor
celery,aipo
cheese,queijo
cherry,cereja
chicken,frango
chicken legs,pernas de frango
chicken wings,asas de frango
chilli,malagueta
chop/rib,costeleta/costela
clams,amêijoas
cooked,cozido
corn,milho
courgette,courgette
crab,caranguejo
crème fresh,creme fresco
cucumber,pepino
duck,pato
fat,gordura
fried,frito
frog,sapo
garlic,alho
grape,uva
green beans,feijão verde
grilled,grelhado
ice cream,Gelado
kiwi,kiwi
lamb,cordeiro
leak,fuga
lemon,limão
lettuce,alface
margerine,margerina
melon,melão
milk,leite
milkshake,milkshake
mushrooms,cogumelos
mussells,mexilhões
octopus,polvo
olives,azeitonas
onion,cebola
orange,laranja
oyster,ostra
peach,pêssego
peas,ervilhas
pepper,pimenta
pineapple,abacaxi
plum,ameixa
pork,porco
potato,batata
prawn,camarão
pumpkin,abóbora
rabbit,coelho
raw,cru
salmon,salmão
salt,sal
salty,salgado
sausage,salsicha
shark,tubarão
shrimp,camarão
smoked,fumado
snails,caracóis
spicy,picante
spinach,espinafres
sprouts,brotos
squid,lula
strawberry,morango
sweet,doce
tasteless,sem gosto
tomato,tomate
trout,truta
tuna,atum
turkey,Turquia
yoghurt,iogurte
