english,portuguese
told,disse
time,tempo
also,também
go,ir
father,pai
upon,sobre
time,vez
what,quê
Want,quer
so,tão
mother,mãe
night,noite
you,ti
Know,sabes
always,sempre
someone,alguém
nor,nem
Some,alguma
life,vida
Years,anos
his,dele
without,sem
you go,vais
Of,das
i had,tinha
to be,estar
man,homem
people,pessoas
something,algo
stay,ficar
you know,sabe
Seems,parece
clear,claro
two,dois
truth,verdade
type,tipo
I need,preciso
before,antes
you,lhe
only,apenas
Mr.,sr.
It does.,faz
you (plural),vocês
nobody,ninguém
other,outra
wait,espera
to know,saber
bay,vão
there,aí
little,pouco
catafalque,essa
this,esse
big,grande
By,pela
any,qualquer
thereof,disso
A,num
which,qual
I am sorry,desculpa
all,toda
must,deve
woman,mulher
Wanted,queria
outside,fora
son,filho
here,cá
Be,seja
Look,olha
Go,vá
hence,daqui
serious,sério
Oh,oh
Wow!,nossa
certainty,certeza
Says,diz
name,nome
whole,todo
To try,tentar
go out,sair
Have,têm
think,pensar
barely,mal
Happened,aconteceu
Can,consigo
three,três
world,mundo
less,menos
although,embora
A,numa
raisin,passa
problem,problema
car,carro
side,lado
times,vezes
In,nas
made/did,fez
Your,seus
new,novo
shit,merda
part,parte
All,todas
first,primeiro
Is,será
come back,voltar
Thought,pensei
some,algum
Think,achas
Comes,vem
inside,dentro
family,família
there,ali
