english,portuguese
armchair,poltrona
bath,banho
bathroom,casa de banho
bathroom sink,pia de casa de banho
bed,cama
bedroom,quarto
bookcase,estante
bowls,tigelas
broom,vassoura
brush,pincel
ceiling,teto
chair,cadeira
comb,pente
cooker,fogão
cot,berço
crockery,louças
cup,copo
cushion,almofada
dish washer,máquina de lavar pratos
door,porta
drawers,gavetas
fan,fã
file (tool),arquivo (ferramenta)
floor,chão
fork,garfo
fridge,frigorífico
frying pan,frigideira
furniture,mobiliário
garden,jardim
glass,vidro
glasses,copos
hallway,corredor
hammer,martelo
heating,aquecimento
iron,ferro
kettle,chaleira
key,chave
kitchen,cozinha
Kitchen sink,Pia de cozinha
knife,faca
lamp,lâmpada
lightbulb,lâmpada
living room,Sala de estar
match,combinar
mop,esfregona
mugs,canecas
nails,pregos
nuts (bolts),porcas (parafusos)
paint,pintura
picture,imagem
pillow,travesseiro
plate,placa
plates,placas
radiator,radiador
roof,telhado
rubbish bin,caixote do lixo
saucepan,panela
Scissors,Tesoura
screwdriver,chave de fendas
screws,parafusos
seat,assento
shed,galpão
sheet,folha
shelf,prateleira
soap,sabão
sponge,esponja
spoon,colher
stairs,escadas
stool,fezes
table,tabela
tap,torneira
tiles,azulejos
toilet,sanita
tooth brush,escova de dentes
tooth paste,pasta de dente
vacuum,vácuo
wall,parede
wardrobe,roupeiro
washing machine,máquina de lavar roupa
window,janela
worktop,bancada
