english,portuguese
adult,adulto
baby,bebê
backpack,mochila
bakers,padeiros
band aid,band aid
bridge,ponte
bucket,balde
butcher,açougueiro
charcuteria,charcuteria
clothes,roupas
cloudy,nublado
desk,mesa
desk,mesa
envelope,envelope
fence,cerca
fishmongers,peixeiros
forest,floresta
fountain,fonte
funeral,funeral
glasses,copos
grocer (fruit),mercearia (fruta)
hole,buraco
jewellers,joalheiros
jewels,joias
letter,carta
map,mapa
metal,metal
motorbike,motocicleta
necklace,colar
newspaper,jornal
notebook,caderno
notes,notas
page,página
pen,caneta
pencil,lápis
plastic,plástico
postbox,caixa postal
queue,fila
radio,rádio
rain,chuva
ring,anel
road,estrada
rubber/eraser,borracha/borracha
rubbish,lixo
shoe shop,loja de sapatos
sky/heaven,céu/céu
snow,neve
stage,estágio
stamps,selos
storm,tempestade
street,rua
sunglasses,óculos de sol
teenager,adolescente
toddler/child,criança/criança
towel,toalha
traffic light,Sinal de tráfego
tree,árvore
watch,assistir
wedding,casamento
wood,madeira
work (piece of),trabalho (peça de)
fire (campfire),fogueira
fire (campfire),fogo
slush,neve derretida
wig,peruca
