english,portuguese
agree,concordar
answer,responder
arrange,arranjer
arrive,chegar
ask,pedir
attend,atender
bark,ladrar
bath,o banho
be able/can,ser capaz/pod-e
be worth,valer
bet,apostar
bite,morder
born (to be),nascer
break,quebrar
break,quebrar
breakfast (have),ao pequeno-almoço
bring,trazer
buy,comprar
carry,levar
catch,capturar
change,mudar
chat,conversar
choose,escolher
clean,limpar
comb,pentear
come,vir
connect,conectar
construct,construir
correct,corrigir
cost,o custo
cough,tossir
cover,cobrir
cry,chorar
cut,cortar
dance,dançar
delay,atrasar
delight,deliciar
demand,exigir
design,projetar
destroy,destruir
dial,marcar
die,morrer
dinner (have),jantar
discover,descobrir
divorce,o divórcio
do/make,fazer/fazer
dream,sonhar
dress,vestir
drive,dirigir
drop/leave,cair/deixar
end/finish,terminar/terminar
equal (be),igual (ser)
fall,cair
feel,sentir
fight,lutar
fill out (polpulate),preencher
fit in,se encaixar em
fix,corrigir
fix,corrigir
follow,seguir
forget,esquecer
fulfill,cumprir
gain weight,ganhar peso
gamble,jogar
Get off (bus),sair (autocarro)
Get on (bus),entrar (autocarro)
get up,se levantar
give,Dar
go,ir
go down,descer
go to bed,ir a cama
go up/climb,subir/subir
guess,adivinhar
hang,pendurar
have,ter
hear,ouvir
help,ajudar
hit,bater
hurt,magoar
joke,brincar
jump,saltar
know,Saber
learn,aprender
leave,Sair
lie,mentir
lie down,deitar-se
listen,ouvir
live,viver
look,olhar
looks like,se parecer
lose,perder
lose weight,perder peso
lunch (have),almoçar
marry,se casar
meet/find,conhecer/encontrar
mess up,estragar
move,mover
need,precisar
open,abrir
order,ordenar
organise,organizar
pass,passar
pass (test),passar (teste)
pick up,pegar
play,jogar
play (instrument),tocar
please,agradar
pretend,fingir
propose,propor
protect,proteger
put,meter
put in (cash),colocar (dinheiro)
rain,chuvar
read,ler
receive,receber
remember,lembrar
replace,substituir
return,voltar
ride,cavalgar
ring,tocar/som
rule,governar
run,correr
say,dizer
search,pesquisar
see,Ver
send,enviar
seperate,separar
serve,servir
share,partilhar
shave,barbear
should,dever
shower,tomar banho
sit down,sentar-se
ski,esquiar
sleep,dormir
smell,cheirar
smile,sorrir
sneeze,espirrar
soak,embeber
solve,resolver
spell,soletrar
spend,gastar
start,começar
stop,parar
suppose,supor
sweep,varrer
take out (cash),tirar (dinheiro)
take/catch,tomar/pegar
tan (sun),bronzear (sol)
taste,provar
tea (have),o chá (ter)
think,pensar
throw,jogar
throw away,deitar
tidy up,arrumar
train,treinar
translate,traduzir
treat/deal with,tratar/lidar com
try,Tentar
Turn,virar
turn off,desligar
wait/hope,esperar
wake up,acordar
want/love,querer/amar
wash,lavar
watch,assistir
water,regar
win,ganhar
write,Escrever
yawn,bocejar
