english,portuguese
maybe,Talvez
meaning,significado
middle,meio
moment,momento
more … than..,mais..
most,mais
multiple,varia
near to,perto
neither,nem
next,proximo
nice,bom
no one,ninguém
often,frequentemente
old,antigo
on,no
only,apenas
or,ou
outside,fora
Penalty,Penalidade
percent,cento
place,lugar
point,ponto
poor,pobre
problem,problema
quiet,calma
rest,resto
rich,rico
round (shape),redonda)
rubbish,lixo
sad,triste
safe,seguro
same,mesmo
scar,cicatriz
search,pesquisa
short,breve
sincere,sincero
single,unico
size,tamanho
slight,pequeno
slow,lento
smile,Sorria
so,entao
someone,outro
something,algum
sometimes,Ora
spell,feitico
sport,desporto
sportsperson,desportista
still,ainda
strong,forte
stupid,estupido
sunrise,amanhecer
sunset,sol
sure,certo
swear words,palavrao
syllable,silaba
tall,alto
tasteless,insipido
tasty,saboroso
terrible,terrivel
that one,aquele
then,entao
thick,grosso
thin,fino
thirst,sede
thought that,pensei que
times (quantity),tempos (quantidade)
together,juntamente
too much,muito
top (at the),topo (no)
tulip,tulipa
ugly,feio
undecided,indeciso
under,em
unknown,desconhecido
unpleasant,desagradavel
upset,chatear
war,guerra
weak,fraco
well,bem
wet,molhado
what a pity,que pena
while,enquanto
wood,madeira
word,palavra
worse,pior
wrinkle,ruga
yesterday,ontem 
yet,ainda
young,jovem
youth,jovem
